Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
packwisely_setting_ammo_t2_tt,ui,UI,,x,Slot count for the T2 ammo pouch.,,Platzanzahl der T2-Munitionstasche.,Cantidad de ranuras para la bolsa de munición T2.,Nombre d’emplacements pour la poche à munitions T2.,Numero di slot per la tasca munizioni T2.,T2弾薬ポーチのスロット数。,T2 탄약 파우치 슬롯 수입니다.,Liczba slotów ładownicy T2.,Quantidade de espaços da bolsa de munição T2.,Количество ячеек T2-подсумка.,T2 cephane cebi yuva sayısı.,T2 弹药包的槽位数量。,T2 彈藥包的欄位數量。
packwisely_setting_ammo_t3,ui,UI,,x,Tactical Bandolier slots,,Plätze: taktischer Patronengurt,Ranuras de bandolera táctica,Emplacements de bandoulière tactique,Slot bandoliera tattica,タクティカル・バンダリアのスロット,전술 탄띠 슬롯,Sloty taktycznego bandoliera,Espaços da bandoleira tática,Ячейки тактического бандольера,Taktik Fişeklik yuvaları,战术弹带槽位,戰術彈帶欄位
packwisely_setting_ammo_t3_tt,ui,UI,,x,Slot count for the T3 ammo pouch.,,Platzanzahl der T3-Munitionstasche.,Cantidad de ranuras para la bolsa de munición T3.,Nombre d’emplacements pour la poche à munitions T3.,Numero di slot per la tasca munizioni T3.,T3弾薬ポーチのスロット数。,T3 탄약 파우치 슬롯 수입니다.,Liczba slotów ładownicy T3.,Quantidade de espaços da bolsa de munição T3.,Количество ячеек T3-подсумка.,T3 cephane cebi yuva sayısı.,T3 弹药包的槽位数量。,T3 彈藥包的欄位數量。
packwisely_setting_ammo_t4,ui,UI,,x,Heavy Ammo Rig slots,,Plätze: schweres Munitionsgeschirr,Ranuras de equipo pesado de munición,Emplacements du harnais de munitions lourd,Slot imbrago munizioni pesante,重装弾薬リグのスロット,중장비 탄약 리그 슬롯,Sloty ciężkiej kamizelki amunicyjnej,Espaços do colete pesado de munição,Ячейки тяжёлой разгрузки,Ağır Cephane Teçhizatı yuvaları,重型弹药挂具槽位,重型彈藥掛具欄位
packwisely_setting_ammo_t4_tt,ui,UI,,x,Slot count for the T4 ammo pouch.,,Platzanzahl der T4-Munitionstasche.,Cantidad de ranuras para la bolsa de munición T4.,Nombre d’emplacements pour la poche à munitions T4.,Numero di slot per la tasca munizioni T4.,T4弾薬ポーチのスロット数。,T4 탄약 파우치 슬롯 수입니다.,Liczba slotów ładownicy T4.,Quantidade de espaços da bolsa de munição T4.,Количество ячеек T4-подсумка.,T4 cephane cebi yuva sayısı.,T4 弹药包的槽位数量。,T4 彈藥包的欄位數量。
packwisely_setting_medical_t1,ui,UI,,x,First Aid Roll slots,,Plätze: Erste-Hilfe-Rolle,Ranuras de rollo de primeros auxilios,Emplacements du rouleau de premiers secours,Slot rotolo di primo soccorso,救急ロールのスロット,응급 처치 롤 슬롯,Sloty rolki pierwszej pomocy,Espaços do rolo de primeiros socorros,Ячейки рулона первой помощи,İlk Yardım Rulosu yuvaları,急救卷包槽位,急救捲包欄位
packwisely_setting_medical_t1_tt,ui,UI,,x,Slot count for the T1 medical pouch.,,Platzanzahl der T1-Sanitätstasche.,Cantidad de ranuras para la bolsa médica T1.,Nombre d’emplacements pour la trousse médicale T1.,Numero di slot per la borsa medica T1.,T1医療ポーチのスロット数。,T1 의료 파우치 슬롯 수입니다.,Liczba slotów torby medycznej T1.,Quantidade de espaços da bolsa médica T1.,Количество ячеек T1-медицинской сумки.,T1 sıhhiye çantası yuva sayısı.,T1 医疗包的槽位数量。,T1 醫療包的欄位數量。
packwisely_setting_medical_t2,ui,UI,,x,Medical Pouch slots,,Plätze: Sanitätstasche,Ranuras de bolsa médica,Emplacements de trousse médicale,Slot borsa medica,医療ポーチのスロット,의료 파우치 슬롯,Sloty torby medycznej,Espaços da bolsa médica,Ячейки медицинской сумки,Sıhhiye Çantası yuvaları,医疗包槽位,醫療包欄位
packwisely_setting_medical_t2_tt,ui,UI,,x,Slot count for the T2 medical pouch.,,Platzanzahl der T2-Sanitätstasche.,Cantidad de ranuras para la bolsa médica T2.,Nombre d’emplacements pour la trousse médicale T2.,Numero di slot per la borsa medica T2.,T2医療ポーチのスロット数。,T2 의료 파우치 슬롯 수입니다.,Liczba slotów torby medycznej T2.,Quantidade de espaços da bolsa médica T2.,Количество ячеек T2-медицинской сумки.,T2 sıhhiye çantası yuva sayısı.,T2 医疗包的槽位数量。,T2 醫療包的欄位數量。
packwisely_setting_medical_t3,ui,UI,,x,Trauma Pouch slots,,Plätze: Traumatasche,Ranuras de bolsa de trauma,Emplacements de trousse de trauma,Slot borsa trauma,外傷用ポーチのスロット,외상 처치 파우치 슬롯,Sloty torby urazowej,Espaços da bolsa de trauma,Ячейки травматологической сумки,Travma Çantası yuvaları,创伤医疗包槽位,創傷醫療包欄位
packwisely_setting_medical_t3_tt,ui,UI,,x,Slot count for the T3 medical pouch.,,Platzanzahl der T3-Sanitätstasche.,Cantidad de ranuras para la bolsa médica T3.,Nombre d’emplacements pour la trousse médicale T3.,Numero di slot per la borsa medica T3.,T3医療ポーチのスロット数。,T3 의료 파우치 슬롯 수입니다.,Liczba slotów torby medycznej T3.,Quantidade de espaços da bolsa médica T3.,Количество ячеек T3-медицинской сумки.,T3 sıhhiye çantası yuva sayısı.,T3 医疗包的槽位数量。,T3 醫療包的欄位數量。
packwisely_setting_medical_t4,ui,UI,,x,Field Medic Pack slots,,Plätze: Feldsanitäter-Pack,Ranuras de mochila de sanitario,Emplacements du sac de médecin de terrain,Slot zaino da medico da campo,野戦衛生兵パックのスロット,야전 의무병 팩 슬롯,Sloty plecaka medyka polowego,Espaços da mochila de médico de campo,Ячейки полевой сумки медика,Sahra Sıhhiye Çantası yuvaları,战地医护包槽位,戰地醫護包欄位
packwisely_setting_medical_t4_tt,ui,UI,,x,Slot count for the T4 medical pouch.,,Platzanzahl der T4-Sanitätstasche.,Cantidad de ranuras para la bolsa médica T4.,Nombre d’emplacements pour la trousse médicale T4.,Numero di slot per la borsa medica T4.,T4医療ポーチのスロット数。,T4 의료 파우치 슬롯 수입니다.,Liczba slotów torby medycznej T4.,Quantidade de espaços da bolsa médica T4.,Количество ячеек T4-медицинской сумки.,T4 sıhhiye çantası yuva sayısı.,T4 医疗包的槽位数量。,T4 醫療包的欄位數量。
packwisely_setting_explosives_t1,ui,UI,,x,Explosives Pouch slots,,Plätze der Sprengstofftasche,Espacios de bolsa de explosivos,Emplacements de poche à explosifs,Slot tasca esplosivi,爆発物ポーチスロット,폭발물 파우치 슬롯,Miejsca torby na materiały wybuchowe,Espaços da bolsa de explosivos,Ячейки подсумка взрывчатки,Patlayıcı Cebi yuvaları,爆炸物包槽位,爆炸物包欄位
packwisely_setting_explosives_t1_tt,ui,UI,,x,Slot count for the T1 demolitions pouch.,,Platzanzahl für die T1-Sprengmeistertasche.,Cantidad de espacios para la bolsa de demolición T1.,Nombre d’emplacements pour la poche de démolition T1.,Numero di slot per la tasca demolizioni T1.,T1解体用ポーチのスロット数。,T1 철거용 파우치의 슬롯 수입니다.,Liczba miejsc w torbie saperskiej T1.,Quantidade de espaços para a bolsa de demolição T1.,Количество ячеек для подсумка подрывника T1.,T1 yıkım cebi yuva sayısı.,T1爆破包的槽位数量。,T1爆破包的欄位數量。
packwisely_setting_explosives_t2,ui,UI,,x,Demolitions Pouch slots,,Plätze der Sprengmeistertasche,Espacios de bolsa de demolición,Emplacements de poche de démolition,Slot tasca demolizioni,解体用ポーチスロット,철거용 파우치 슬롯,Miejsca torby saperskiej,Espaços da bolsa de demolição,Ячейки подсумка подрывника,Yıkım Cebi yuvaları,爆破包槽位,爆破包欄位
packwisely_setting_explosives_t2_tt,ui,UI,,x,Slot count for the T2 demolitions pouch.,,Platzanzahl für die T2-Sprengmeistertasche.,Cantidad de espacios para la bolsa de demolición T2.,Nombre d’emplacements pour la poche de démolition T2.,Numero di slot per la tasca demolizioni T2.,T2解体用ポーチのスロット数。,T2 철거용 파우치의 슬롯 수입니다.,Liczba miejsc w torbie saperskiej T2.,Quantidade de espaços para a bolsa de demolição T2.,Количество ячеек для подсумка подрывника T2.,T2 yıkım cebi yuva sayısı.,T2爆破包的槽位数量。,T2爆破包的欄位數量。
packwisely_setting_explosives_t3,ui,UI,,x,Grenadier Pouch slots,,Plätze der Grenadiertasche,Espacios de bolsa de granadero,Emplacements de poche de grenadier,Slot tasca da granatiere,擲弾兵ポーチスロット,척탄병 파우치 슬롯,Miejsca torby grenadiera,Espaços da bolsa de granadeiro,Ячейки подсумка гренадера,Bombacı Cebi yuvaları,掷弹兵包槽位,擲彈兵包欄位
packwisely_setting_explosives_t3_tt,ui,UI,,x,Slot count for the T3 demolitions pouch.,,Platzanzahl für die T3-Sprengmeistertasche.,Cantidad de espacios para la bolsa de demolición T3.,Nombre d’emplacements pour la poche de démolition T3.,Numero di slot per la tasca demolizioni T3.,T3解体用ポーチのスロット数。,T3 철거용 파우치의 슬롯 수입니다.,Liczba miejsc w torbie saperskiej T3.,Quantidade de espaços para a bolsa de demolição T3.,Количество ячеек для подсумка подрывника T3.,T3 yıkım cebi yuva sayısı.,T3爆破包的槽位数量。,T3爆破包的欄位數量。
packwisely_setting_explosives_t4,ui,UI,,x,Heavy Demolitions Rig slots,,Plätze des schweren Sprengmeistergeschirrs,Espacios de equipo pesado de demolición,Emplacements de harnais de démolition lourd,Slot imbrago demolizioni pesante,重装解体リグスロット,중형 철거 리그 슬롯,Miejsca ciężkiej uprzęży saperskiej,Espaços do colete pesado de demolição,Ячейки тяжёлой разгрузки подрывника,Ağır Yıkım Teçhizatı yuvaları,重型爆破挂具槽位,重型爆破掛具欄位
packwisely_setting_explosives_t4_tt,ui,UI,,x,Slot count for the T4 demolitions pouch.,,Platzanzahl für die T4-Sprengmeistertasche.,Cantidad de espacios para la bolsa de demolición T4.,Nombre d’emplacements pour la poche de démolition T4.,Numero di slot per la tasca demolizioni T4.,T4解体用ポーチのスロット数。,T4 철거용 파우치의 슬롯 수입니다.,Liczba miejsc w torbie saperskiej T4.,Quantidade de espaços para a bolsa de demolição T4.,Количество ячеек для подсумка подрывника T4.,T4 yıkım cebi yuva sayısı.,T4爆破包的槽位数量。,T4爆破包的欄位數量。
packwisely_setting_reload_pouch_first,ui,UI,,x,Reload uses Ammo Pouch first,,Beim Nachladen zuerst Munitionstasche nutzen,Recargar usa primero la bolsa de munición,Le rechargement utilise d’abord la poche à munitions,La ricarica usa prima la tasca munizioni,リロード時に弾薬ポーチを優先,재장전 시 탄약 파우치 우선,Przeładowanie najpierw używa ładownicy,Recarga usa primeiro a bolsa de munição,Перезарядка сначала берёт из подсумка,Yeniden doldurma önce Cephane Cebini kullanır,装填优先使用弹药包,裝填優先使用彈藥包
packwisely_setting_reload_pouch_first_tt,ui,UI,,x,When reload integration is enabled ammo in the pouch is consumed before backpack ammo.,,"Wenn Nachladeintegration aktiv ist, wird Munition aus der Tasche vor Rucksackmunition verbraucht.","Con la integración de recarga activa, la munición de la bolsa se consume antes que la de la mochila.","Quand l’intégration de rechargement est active, les munitions de la poche sont utilisées avant celles du sac.","Con l’integrazione ricarica attiva, le munizioni nella tasca vengono consumate prima di quelle nello zaino.",リロード連携が有効な場合、バックパック内より先にポーチ内の弾薬を消費する。,재장전 연동이 켜져 있으면 배낭 탄약보다 파우치 탄약을 먼저 소비합니다.,"Gdy integracja przeładowania jest włączona, amunicja z ładownicy zużywa się przed amunicją z plecaka.","Com a integração de recarga ativa, a munição da bolsa é consumida antes da mochila.",При включённой интеграции перезарядки боеприпасы из подсумка расходуются раньше рюкзака.,Yeniden doldurma entegrasyonu açıkken cepteki cephane çantadakinden önce kullanılır.,启用装填联动时，优先消耗弹药包中的弹药。,啟用裝填整合時，優先消耗彈藥包中的彈藥。
packwisely_setting_enable_medical_radial,ui,UI,,x,Enable Medical Radial,,Medizin-Radialmenü aktivieren,Activar radial médico,Activer le radial médical,Abilita radiale medico,医療ラジアルを有効化,의료 방사형 메뉴 사용,Włącz menu medyczne,Ativar radial médico,Включить медицинское круговое меню,Sıhhiye dairesel menüsünü aç,启用医疗环形菜单,啟用醫療環形選單
packwisely_setting_enable_medical_radial_tt,ui,UI,,x,Allows the medical radial menu to use pouch and inventory items.,,"Erlaubt dem medizinischen Radialmenü, Gegenstände aus Tasche und Inventar zu nutzen.",Permite que el menú radial médico use objetos de la bolsa y del inventario.,Permet au menu radial médical d’utiliser les objets de la poche et de l’inventaire.,Permette al menu radiale medico di usare oggetti da borsa e inventario.,医療ラジアルメニューがポーチとインベントリのアイテムを使用できるようにする。,의료 방사형 메뉴가 파우치와 인벤토리의 아이템을 사용할 수 있게 합니다.,Pozwala menu medycznemu używać przedmiotów z torby i ekwipunku.,Permite que o radial médico use itens da bolsa e do inventário.,Позволяет медицинскому круговому меню использовать предметы из сумки и инвентаря.,Sıhhiye dairesel menüsünün çanta ve envanter eşyalarını kullanmasını sağlar.,允许医疗环形菜单使用包具和背包中的物品。,允許醫療環形選單使用包具和背包中的物品。
packwisely_setting_enable_smart_medical,ui,UI,,x,Enable Smart Medical Use,,Intelligente medizinische Nutzung aktivieren,Activar uso médico inteligente,Activer l’usage médical intelligent,Abilita uso medico intelligente,スマート医療使用を有効化,스마트 의료 사용 켜기,Włącz inteligentne użycie medyczne,Ativar uso médico inteligente,Включить умное медицинское применение,Akıllı Sıhhiye Kullanımını Aç,启用智能医疗使用,啟用智慧醫療使用
packwisely_setting_enable_smart_medical_tt,ui,UI,,x,Allows the smart-use hotkey to pick a matching cure or medicine.,,"Erlaubt der Schnellnutzung, ein passendes Heilmittel oder Medikament zu wählen.",Permite que la tecla inteligente elija una cura o medicina adecuada.,Permet à la touche intelligente de choisir un remède ou médicament adapté.,Permette al tasto intelligente di scegliere una cura o medicina adatta.,スマート使用ホットキーが適切な治療薬や医薬品を選べるようにする。,스마트 사용 단축키가 알맞은 치료제나 약을 고를 수 있게 합니다.,Pozwala skrótowi inteligentnego użycia wybrać pasujące lekarstwo lub środek.,Permite que a tecla inteligente escolha uma cura ou remédio adequado.,Позволяет умной клавише выбрать подходящее лечение или лекарство.,Akıllı kullanım tuşunun uygun tedavi veya ilacı seçmesini sağlar.,允许智能使用热键选择合适的治疗物或药品。,允許智慧使用熱鍵選擇合適的治療物或藥品。
packwisely_setting_smart_search_backpack,ui,UI,,x,Smart-use searches backpack,,Smart-Nutzung durchsucht Rucksack,Uso inteligente busca en mochila,L’usage intelligent cherche dans le sac,Uso intelligente cerca nello zaino,スマート使用がバックパックを検索,스마트 사용이 배낭 검색,Inteligentne użycie przeszukuje plecak,Uso inteligente busca na mochila,Умное применение ищет в рюкзаке,Akıllı kullanım çantayı arar,智能使用搜索背包,智慧使用搜尋背包
packwisely_setting_smart_search_backpack_tt,ui,UI,,x,Smart medical use can use matching items from the backpack after the pouch.,,Nach der Tasche darf die intelligente medizinische Nutzung passende Gegenstände aus dem Rucksack verwenden.,"Tras la bolsa, el uso médico inteligente puede usar objetos adecuados de la mochila.","Après la poche, l’usage médical intelligent peut utiliser les objets adaptés du sac.","Dopo la borsa, l’uso medico intelligente può usare oggetti adatti dallo zaino.",ポーチの後、スマート医療使用がバックパック内の適切なアイテムを使える。,파우치 다음으로 배낭의 알맞은 아이템을 스마트 의료 사용에 쓸 수 있습니다.,Po torbie inteligentne użycie medyczne może używać pasujących przedmiotów z plecaka.,"Depois da bolsa, o uso médico inteligente pode usar itens adequados da mochila.",После сумки умное медицинское применение может брать подходящие предметы из рюкзака.,Akıllı sıhhiye kullanımı çantadan sonra ana çantadaki uygun eşyaları kullanabilir.,在包具之后，智能医疗使用可使用背包中的匹配物品。,在包具之後，智慧醫療使用可使用背包中的相符物品。
packwisely_setting_smart_search_toolbelt,ui,UI,,x,Smart-use searches toolbelt,,Smart-Nutzung durchsucht Werkzeuggürtel,Uso inteligente busca en cinturón de herramientas,L’usage intelligent cherche dans la ceinture,Uso intelligente cerca nella barra rapida,スマート使用がツールベルトを検索,스마트 사용이 툴벨트 검색,Inteligentne użycie przeszukuje pas narzędzi,Uso inteligente busca no cinto de ferramentas,Умное применение ищет на поясе,Akıllı kullanım araç kemerini arar,智能使用搜索工具腰带,智慧使用搜尋工具腰帶
packwisely_setting_smart_search_toolbelt_tt,ui,UI,,x,Smart medical use can use matching items from the toolbelt after the pouch and backpack.,,Nach Tasche und Rucksack darf die intelligente medizinische Nutzung passende Gegenstände vom Werkzeuggürtel verwenden.,"Tras la bolsa y mochila, el uso médico inteligente puede usar objetos adecuados del cinturón.","Après la poche et le sac, l’usage médical intelligent peut utiliser les objets adaptés de la ceinture.","Dopo borsa e zaino, l’uso medico intelligente può usare oggetti adatti dalla barra rapida.",ポーチとバックパックの後、スマート医療使用がツールベルト内の適切なアイテムを使える。,파우치와 배낭 다음으로 툴벨트의 알맞은 아이템을 스마트 의료 사용에 쓸 수 있습니다.,Po torbie i plecaku inteligentne użycie może korzystać z pasa narzędzi.,"Depois da bolsa e mochila, o uso médico inteligente pode usar itens do cinto de ferramentas.",После сумки и рюкзака умное применение может брать подходящие предметы с пояса.,Akıllı sıhhiye kullanımı çanta ve ana çantadan sonra araç kemerindeki uygun eşyaları kullanabilir.,在包具和背包之后，智能医疗使用可使用工具腰带中的匹配物品。,在包具和背包之後，智慧醫療使用可使用工具腰帶中的相符物品。
packwisely_setting_smart_rare_minor,ui,UI,,x,Use rare items for minor damage,,Seltene Gegenstände bei kleinen Wunden nutzen,Usar objetos raros con daño menor,Utiliser les objets rares pour de petits dégâts,Usa oggetti rari per danni lievi,軽傷にもレア品を使う,가벼운 피해에 희귀 아이템 사용,Używaj rzadkich przedmiotów przy małych obrażeniach,Usar itens raros para dano leve,Тратить редкие предметы при лёгком уроне,Küçük hasar için nadir eşyaları kullan,小伤也使用稀有物品,小傷也使用稀有物品
packwisely_setting_smart_rare_minor_tt,ui,UI,,x,Allows smart-use to spend rare healing items for small health loss. Off by default.,,"Erlaubt Smart-Nutzung, seltene Heilgegenstände bei geringem Lebensverlust zu verbrauchen. Standardmäßig aus.",Permite gastar curas raras con poca pérdida de salud. Desactivado por defecto.,Autorise l’usage intelligent à dépenser des soins rares pour une petite perte de santé. Désactivé par défaut.,Permette di spendere cure rare per piccole perdite di salute. Disattivo di default.,少量の体力低下にもレア回復品を使う。既定ではオフ。,체력 손실이 적어도 희귀 회복 아이템을 쓰게 합니다. 기본값은 꺼짐입니다.,Pozwala zużywać rzadkie leczenie przy niewielkiej utracie zdrowia. Domyślnie wyłączone.,Permite gastar curas raras com pouca perda de vida. Desligado por padrão.,Позволяет тратить редкие лечащие предметы при малой потере здоровья. По умолчанию выкл.,Akıllı kullanımın küçük can kaybı için nadir iyileştirme eşyaları harcamasına izin verir. Varsayılan olarak kapalıdır.,允许智能使用在轻微失血时消耗稀有治疗物品。默认关闭。,允許智慧使用在輕微失血時消耗稀有治療物品。預設關閉。

# ==================================================================================================
# GEARS SETTINGS MARKING AND CONTROLS
# Safety options and keybind labels for junk marking smart medical use and button placement.
# ==================================================================================================
packwisely_settings_marking,ui,UI,,x,Marking,,Markierungen,Marcado,Marquage,Marcatura,マーキング,표식,Oznaczanie,Marcação,Метки,İşaretleme,标记,標記
packwisely_settings_marking_tt,ui,UI,,x,Scrap and sale marking safety options.,,Sicherheitsoptionen für Verschrottungs- und Verkaufsmarken.,Opciones de seguridad para marcas de desguace y venta.,Options de sécurité pour les marques de recyclage et de vente.,Opzioni di sicurezza per marcature rottamazione e vendita.,解体と売却マークの安全設定。,분해 및 판매 표식 안전 옵션입니다.,Opcje bezpieczeństwa oznaczeń złomowania i sprzedaży.,Opções de segurança para marcas de sucata e venda.,Параметры безопасности меток разбора и продажи.,Hurda ve satış işaretleme güvenlik ayarları.,拆解和出售标记的安全选项。,拆解和出售標記的安全選項。
packwisely_setting_protect_toolbelt,ui,UI,,x,Protect toolbelt from bulk actions,,Werkzeuggürtel vor Massenaktionen schützen,Proteger cinturón de acciones masivas,Protéger la ceinture des actions groupées,Proteggi barra rapida dalle azioni in massa,一括操作からツールベルトを保護,일괄 작업에서 툴벨트 보호,Chroń pas narzędzi przed akcjami masowymi,Proteger cinto de ferramentas de ações em massa,Защищать пояс от массовых действий,Araç kemerini toplu işlemlerden koru,保护工具腰带免受批量操作影响,保護工具腰帶免受批次操作影響
packwisely_setting_protect_toolbelt_tt,ui,UI,,x,Prevents bulk scrap and sell actions from touching toolbelt items.,,"Verhindert, dass Massenverschrottung und Massenverkauf Gegenstände im Werkzeuggürtel berühren.",Evita que desguace y venta masivos toquen objetos del cinturón.,Empêche le recyclage et la vente groupés de toucher la ceinture.,Impedisce a rottamazione e vendita in massa di toccare la barra rapida.,一括解体や一括売却がツールベルトのアイテムに触れないようにする。,일괄 분해 및 판매가 툴벨트 아이템에 닿지 않게 합니다.,Chroni przedmioty z pasa narzędzi przed masowym złomowaniem i sprzedażą.,Impede que sucata e venda em massa mexam nos itens do cinto.,Не даёт массовому разбору и продаже трогать предметы на поясе.,Toplu hurdaya ayırma ve satış işlemlerinin araç kemerindeki eşyalara dokunmasını engeller.,防止批量拆解和出售影响工具腰带物品。,防止批次拆解和出售影響工具腰帶物品。
packwisely_setting_protect_unread_books,ui,UI,,x,Protect unread books,,Ungelesene Bücher schützen,Proteger libros sin leer,Protéger les livres non lus,Proteggi libri non letti,未読の本を保護,읽지 않은 책 보호,Chroń nieprzeczytane książki,Proteger livros não lidos,Защищать непрочитанные книги,Okunmamış kitapları koru,保护未读书籍,保護未讀書籍
packwisely_setting_protect_unread_books_tt,ui,UI,,x,Prevents bulk actions from destroying unread books and magazines.,,"Verhindert, dass Massenaktionen ungelesene Bücher und Magazine zerstören.",Evita que las acciones masivas destruyan libros y revistas sin leer.,Empêche les actions groupées de détruire livres et magazines non lus.,Impedisce alle azioni in massa di distruggere libri e riviste non letti.,一括操作で未読の本や雑誌を壊さないようにする。,일괄 작업이 읽지 않은 책과 잡지를 파괴하지 않게 합니다.,Chroni nieprzeczytane książki i czasopisma przed akcjami masowymi.,Impede que ações em massa destruam livros e revistas não lidos.,Не даёт массовым действиям уничтожать непрочитанные книги и журналы.,Toplu işlemlerin okunmamış kitap ve dergileri yok etmesini engeller.,防止批量操作摧毁未读书籍和杂志。,防止批次操作摧毀未讀書籍和雜誌。
packwisely_setting_protect_quest,ui,UI,,x,Protect quest items,,Questgegenstände schützen,Proteger objetos de misión,Protéger les objets de quête,Proteggi oggetti missione,クエストアイテムを保護,퀘스트 아이템 보호,Chroń przedmioty zadań,Proteger itens de missão,Защищать квестовые предметы,Görev eşyalarını koru,保护任务物品,保護任務物品
packwisely_setting_protect_quest_tt,ui,UI,,x,Prevents bulk actions from touching quest items.,,"Verhindert, dass Massenaktionen Questgegenstände berühren.",Evita que las acciones masivas toquen objetos de misión.,Empêche les actions groupées de toucher les objets de quête.,Impedisce alle azioni in massa di toccare oggetti missione.,一括操作がクエストアイテムに触れないようにする。,일괄 작업이 퀘스트 아이템에 닿지 않게 합니다.,Chroni przedmioty zadań przed akcjami masowymi.,Impede que ações em massa mexam em itens de missão.,Не даёт массовым действиям трогать квестовые предметы.,Toplu işlemlerin görev eşyalarına dokunmasını engeller.,防止批量操作影响任务物品。,防止批次操作影響任務物品。
packwisely_setting_protect_active_pouch_mods,ui,UI,,x,Protect active pouch mods,,Aktive Taschenmods schützen,Proteger mods de bolsa activos,Protéger les modules de poche actifs,Proteggi mod borsa attivi,有効なポーチ改造を保護,활성 파우치 모드 보호,Chroń aktywne mody torby,Proteger mods de bolsa ativos,Защищать активные моды сумок,Aktif çanta modlarını koru,保护已启用的包具模组,保護已啟用的包具模組
packwisely_setting_protect_active_pouch_mods_tt,ui,UI,,x,Prevents bulk actions from touching pouch mods currently active on gear.,,"Verhindert, dass Massenaktionen Taschenmods berühren, die gerade an Ausrüstung aktiv sind.",Evita que las acciones masivas toquen mods de bolsa activos en el equipo.,Empêche les actions groupées de toucher les modules de poche actifs sur l’équipement.,Impedisce alle azioni in massa di toccare mod borsa attivi sull’equipaggiamento.,現在装備で有効なポーチ改造に一括操作が触れないようにする。,장비에서 활성화된 파우치 모드에 일괄 작업이 닿지 않게 합니다.,Chroni aktualnie aktywne mody torby na ekwipunku przed akcjami masowymi.,Impede que ações em massa mexam nos mods de bolsa ativos no equipamento.,Не даёт массовым действиям трогать активные моды сумок на снаряжении.,Toplu işlemlerin ekipmanda aktif olan çanta modlarına dokunmasını engeller.,防止批量操作影响装备上当前启用的包具模组。,防止批次操作影響裝備上目前啟用的包具模組。
packwisely_settings_controls,ui,UI,,x,Controls,,Steuerung,Controles,Commandes,Comandi,操作,조작,Sterowanie,Controles,Управление,Kontroller,控制,控制
packwisely_settings_controls_tt,ui,UI,,x,Remap Packwisely hotkeys and key combinations.,,Packwisely-Tasten und Tastenkombinationen neu belegen.,Reasigna teclas y combinaciones de Packwisely.,Réattribue les touches et combinaisons Packwisely.,Rimappa tasti e combinazioni di Packwisely.,Packwiselyのホットキーとキー組み合わせを変更する。,Packwisely 단축키와 키 조합을 다시 지정합니다.,Zmień skróty i kombinacje klawiszy Packwisely.,Remapeie teclas e combinações do Packwisely.,Переназначение клавиш и комбинаций Packwisely.,Packwisely tuşlarını ve tuş kombinasyonlarını değiştir.,重新绑定 Packwisely 热键和组合键。,重新綁定 Packwisely 快捷鍵和組合鍵。
packwisely_setting_medical_hotkey,ui,UI,,x,Medical key,,Sanitätstaste,Tecla médica,Touche médicale,Tasto medico,医療キー,의료 키,Klawisz medyczny,Tecla médica,Медицинская клавиша,Sıhhiye tuşu,医疗键,醫療鍵
packwisely_setting_medical_hotkey_tt,ui,UI,,x,"Open the Gears binding prompt to choose any keyboard, mouse, numpad, or supported combo binding. Tap for Smart Medical Use; hold for the Medical Radial.",,"Öffne die Gears-Tastenbelegung, um eine Tastatur-, Maus-, Nummernblock- oder unterstützte Kombinationsbelegung zu wählen. Antippen nutzt die schlaue Sanitätshilfe; halten öffnet das Sanitätsrad.","Abre el ajuste de controles de Gears para elegir cualquier tecla, botón del ratón, teclado numérico o combinación compatible. Pulsa para uso médico inteligente; mantén para abrir el radial médico.","Ouvre la fenêtre de raccourci Gears pour choisir une touche, un bouton de souris, le pavé numérique ou une combinaison prise en charge. Appui bref pour les soins intelligents ; maintien pour le radial médical.","Apri il pannello comandi di Gears per scegliere tastiera, mouse, tastierino numerico o combinazioni supportate. Tocca per l’uso medico intelligente; tieni premuto per il radiale medico.",Gearsのキー割り当て画面で、キーボード、マウス、テンキー、対応コンボを自由に設定できます。短押しでスマート医療使用、長押しで医療ラジアルを開きます。,"Gears 단축키 설정에서 키보드, 마우스, 숫자패드 또는 지원되는 조합을 자유롭게 지정합니다. 짧게 누르면 스마트 의료 사용, 길게 누르면 의료 원형 메뉴가 열립니다.","Otwórz przypisywanie klawiszy Gears, aby wybrać klawiaturę, mysz, numpad albo obsługiwaną kombinację. Krótkie naciśnięcie używa sprytnego leczenia; przytrzymanie otwiera menu kołowe.","Abra o menu de atalhos do Gears para escolher teclado, mouse, numpad ou combinações aceitas. Toque para uso médico inteligente; segure para abrir o radial médico.","Открой назначение клавиш Gears, чтобы выбрать клавиатуру, мышь, цифровой блок или поддерживаемую комбинацию. Нажатие — умное лечение; удержание — медицинское колесо.","Gears tuş atama penceresini açarak klavye, fare, numpad veya desteklenen kombinasyonlardan istediğini seç. Dokununca akıllı sıhhiye kullanımı, basılı tutunca sıhhiye dairesi açılır.",打开 Gears 按键绑定窗口，可选择键盘、鼠标、小键盘或支持的组合键。轻按为智能医疗使用，按住打开医疗轮盘。,開啟 Gears 按鍵綁定視窗，可選擇鍵盤、滑鼠、數字鍵盤或支援的組合鍵。輕按為智慧醫療使用，按住開啟醫療輪盤。
